entity1,entity2,pertinence,dot,relation
11,4,517,1,0
11,6,1321,1,0
11,5,330,1,0
11,4,1217,1,0
11,5,1419,1,0
11,11,426,1,0
4,6,1111,1,0
4,5,491,0,0
4,4,1007,1,0
4,5,1209,1,0
4,11,334,0,0
6,5,1295,1,0
6,4,654,0,0
6,5,648,0,0
6,11,1138,1,0
5,4,1191,1,0
5,5,1393,1,0
5,11,400,0,0
4,5,752,0,0
4,11,1034,1,0
5,11,1236,1,0
5,6,996,0,0
5,11,418,0,0
5,2,859,0,0
5,4,1240,0,0
5,11,614,0,1
6,11,883,0,0
6,2,686,0,0
6,4,551,0,1
6,11,1060,0,0
11,2,746,0,0
11,4,1127,0,0
11,11,482,0,0
2,4,930,0,0
2,11,923,0,0
4,11,1304,0,0
4,1,574,0,0
4,7,614,0,1
1,7,645,0,1
10,1,951,1,0
10,11,1046,1,0
10,1,428,0,0
10,4,664,0,0
10,7,889,1,0
10,2,307,0,0
10,3,1057,1,0
10,7,550,0,1
1,11,577,0,0
1,1,832,1,0
1,4,1068,1,0
1,7,612,0,1
1,2,711,1,0
1,3,588,0,0
1,7,708,1,0
11,1,927,1,0
11,4,1163,1,0
11,7,707,0,1
11,2,806,1,0
11,3,560,0,0
11,7,803,1,0
1,4,307,0,0
1,7,770,1,0
1,2,356,0,0
1,3,938,1,0
1,7,431,0,1
4,7,1006,1,0
4,2,592,0,0
4,3,1174,1,0
4,7,667,0,1
7,2,649,1,0
7,3,718,0,1
7,7,646,1,0
2,3,817,1,0
2,7,310,0,1
3,7,814,1,0
5,7,469,0,0
5,5,553,0,1
7,5,477,0,1
5,1,757,1,0
5,2,1069,1,0
5,2,996,0,0
5,2,1051,1,0
5,3,1024,1,0
5,3,596,0,1
5,2,1014,1,0
1,2,320,0,0
1,2,39,1,0
1,2,302,0,0
1,3,283,0,1
1,3,807,1,0
1,2,289,0,0
2,2,351,1,0
2,2,321,0,0
2,3,595,0,0
2,3,1119,1,0
2,2,601,0,0
2,2,333,1,0
2,3,306,1,0
2,3,1046,0,0
2,2,296,1,0
2,3,577,0,0
2,3,1101,1,0
2,2,583,0,0
3,3,1074,1,0
3,2,556,0,1
3,2,1064,1,0
6,4,580,0,0
6,5,626,0,0
6,9,604,0,0
6,1,652,0,0
6,6,836,0,0
6,5,576,0,1
6,4,838,0,0
4,5,353,0,1
4,9,331,0,1
4,1,379,0,1
4,6,563,0,0
4,5,550,0,1
4,4,565,0,0
5,9,570,0,0
5,1,574,0,0
5,6,758,0,0
5,5,596,0,0
5,4,760,0,0
9,1,596,0,0
9,6,780,0,0
9,5,574,0,0
9,4,782,0,1
1,6,364,0,0
1,5,622,0,0
1,4,366,0,0
6,5,806,0,0
6,4,550,0,1
5,4,808,0,0
5,3,424,1,0
5,5,697,0,1
5,1,329,1,0
5,5,654,0,1
5,5,280,1,0
3,5,571,1,0
3,1,402,0,0
3,5,528,1,0
3,5,421,0,0
5,1,476,1,0
5,5,590,0,0
5,5,427,1,0
1,5,433,1,0
1,5,326,0,0
5,5,384,1,0
1,1,341,0,0
1,11,927,1,0
1,5,917,1,0
1,1,584,0,0
1,2,471,1,0
1,11,832,1,0
1,11,893,1,0
1,5,883,1,0
1,1,307,0,0
1,2,534,1,0
1,11,798,1,0
11,5,537,1,0
11,1,893,1,0
11,2,1120,1,0
11,11,642,0,0
5,1,883,1,0
5,2,1110,1,0
5,11,632,1,0
1,2,777,1,0
1,11,798,1,0
2,11,1025,1,0
6,4,348,0,0
6,6,625,0,0
6,4,550,0,1
4,6,550,0,1
4,4,350,0,0
6,4,627,0,0
5,5,786,1,0
5,4,737,1,0
5,4,990,1,0
5,6,987,1,0
5,7,806,1,0
5,4,1009,1,0
5,4,599,0,0
5,4,750,0,0
5,6,747,0,0
5,7,566,0,0
5,4,769,0,0
4,4,803,0,0
4,6,800,0,0
4,7,619,0,0
4,4,822,0,0
4,6,550,0,1
4,7,429,0,0
4,4,569,0,0
6,7,426,0,0
6,4,569,0,0
7,4,448,0,0
1,3,451,0,0
1,3,485,0,0
3,3,340,0,0
3,1,331,0,1
3,5,618,0,1
1,5,683,0,0
7,4,332,0,0
7,11,322,1,0
7,9,555,0,1
7,3,337,1,0
7,6,579,0,0
7,11,327,0,0
4,11,378,1,0
4,9,326,0,0
4,3,393,1,0
4,6,550,0,1
4,11,298,0,1
11,9,601,1,0
11,3,564,0,1
11,6,625,1,0
11,11,373,1,0
9,3,616,1,0
9,6,573,0,0
9,11,321,0,1
3,6,640,1,0
3,11,388,1,0
6,11,295,0,0
4,6,668,0,1
4,2,380,0,0
4,2,736,0,0
4,4,589,0,0
4,4,661,0,0
4,2,309,0,0
6,2,290,0,0
6,2,859,0,0
6,4,563,0,1
6,4,550,0,1
6,2,362,0,0
2,2,571,0,0
2,4,275,0,0
2,4,283,0,1
2,2,74,0,0
2,4,780,0,0
2,4,852,0,0
2,2,500,0,0
4,4,556,0,0
4,2,283,0,1
4,2,355,0,0
2,2,339,0,1
2,12,278,1,0
5,5,584,0,0
5,5,688,1,0
5,6,804,1,0
5,5,372,0,0
5,11,663,1,1
5,1,821,1,0
5,5,474,1,0
5,5,403,0,0
5,4,805,1,0
5,5,1356,1,0
5,5,976,1,0
5,4,658,0,0
5,5,487,1,0
5,5,797,1,0
5,6,913,1,0
5,5,307,0,0
5,11,598,1,1
5,1,930,1,0
5,5,409,1,0
5,5,338,0,0
5,4,914,1,0
5,5,1465,1,0
5,5,1085,1,0
5,4,767,1,0
5,5,422,1,0
5,6,666,0,0
5,5,585,1,0
5,11,876,1,0
5,1,683,1,0
5,5,687,1,0
5,5,616,1,0
5,4,667,0,1
5,5,1218,1,0
5,5,838,1,0
5,4,308,1,0
5,5,700,1,0
6,5,701,1,0
6,11,992,1,0
6,1,566,1,0
6,5,803,1,0
6,5,732,1,0
6,4,550,0,1
6,5,1101,1,0
6,5,721,1,0
6,4,424,1,0
6,5,816,1,0
5,11,567,1,1
5,1,718,1,0
5,5,378,1,0
5,5,307,0,0
5,4,702,1,0
5,5,1253,1,0
5,5,873,1,0
5,4,555,1,0
5,5,391,1,0
11,1,1009,1,0
11,5,483,0,1
11,5,496,0,1
11,4,993,1,0
11,5,1544,1,0
11,5,1164,1,0
11,4,846,1,0
11,5,467,0,1
1,5,820,1,0
1,5,749,1,0
1,4,566,1,0
1,5,717,1,0
1,5,337,0,0
1,4,441,1,0
1,5,833,1,0
5,5,307,0,0
5,4,804,1,0
5,5,1355,1,0
5,5,975,1,0
5,4,657,1,0
5,5,307,0,0
5,4,733,1,0
5,5,1284,1,0
5,5,904,1,0
5,4,586,1,0
5,5,320,0,0
4,5,1101,1,0
4,5,721,1,0
4,4,425,1,0
4,5,817,1,0
5,5,855,1,0
5,4,976,1,0
5,5,1368,1,0
5,4,596,1,0
5,5,988,1,0
4,5,670,1,0
5,2,1184,1,0
5,1,978,1,0
5,5,881,1,0
5,2,1085,1,0
5,1,612,0,0
5,1,1274,1,0
2,1,420,0,0
2,5,780,0,0
2,2,406,0,0
2,1,995,1,0
2,1,338,1,0
1,5,574,0,0
1,2,321,0,0
1,1,789,1,0
1,1,510,1,0
5,2,681,0,0
5,1,692,1,0
5,1,870,1,0
